Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_XGBoost,W_KNN,W_ElasticNet,W_entropy,RMSE_XGBoost,RMSE_KNN,RMSE_ElasticNet
Boston,0,2.840071706643502,2.6059379369436737,2.546641159560094,2.0,20.0,51.442689657211304,0.30691452750644355,0.41709060839619205,0.2759948640973644,0.6815233310276709,3.46083360487529,2.546641159560094,3.848550276816389
Boston,1,4.969112457662175,2.3534674083303386,4.87899700683675,2.0,24.0,46.22439503669739,0.35828699517489904,0.33820859625264227,0.3035044085724587,0.6916841143401076,4.87899700683675,5.16864797766126,5.759656623356779
Boston,2,3.5098212190975215,2.844686864189678,3.3404323887789347,2.0,25.0,52.4026153087616,0.3147040880361646,0.3829777748222635,0.30231813714157196,0.6883514242454539,4.065124705525237,3.3404323887789347,4.231672552969438
Boston,3,3.834287629497411,2.2923357165203186,3.5929263553279505,2.0,24.0,61.22526717185974,0.3098961284775278,0.39496757041192326,0.2951363011105489,0.6858461096639974,4.579242084156143,3.5929263553279505,4.808250926446637
Boston,4,5.046667002512875,2.515159399855405,4.759804034742871,2.0,21.0,40.8671612739563,0.370353084840755,0.3337205764784357,0.29592633868080936,0.6913446272630858,4.759804034742871,5.282287733378845,5.956915208596315
Boston,5,3.622309883413167,2.2123048246718255,3.060776094323897,2.0,24.0,54.82389688491821,0.2927996565705446,0.416336655489065,0.29086368794039047,0.6778953220468935,4.352167954189612,3.060776094323897,4.381135683686301
Boston,6,3.8939488131180697,2.7241665873564918,3.3580839316178355,2.0,24.0,42.82858991622925,0.34002734370877213,0.39283146173957717,0.26714119455165064,0.6749007692991844,3.8795733458328594,3.3580839316178355,4.938066634493301
Boston,7,2.9918695038933927,2.264413086720932,2.7528807066318612,2.0,19.0,45.66854405403137,0.2880728314055539,0.43718681013369143,0.2747403584607547,0.6718598470424241,4.177843252186238,2.7528807066318612,4.380583695711848
Boston,8,3.2715870669856426,2.428028041213275,3.4868015804436463,2.0,19.0,42.456469774246216,0.40698182858073645,0.274825636325759,0.3181925350935045,0.674242298268279,3.4868015804436463,5.163509860624184,4.459767991411324
Boston,9,4.043718399284587,2.538310739320802,3.7694879974920057,2.0,21.0,50.560580253601074,0.2899968295315681,0.40949313913882496,0.300510031329607,0.6784833230138241,5.322746029825286,3.7694879974920057,5.13653226889117
MEDIA,-,3.802339368210834,2.477881060512274,3.8035674205396868,2.0,22.1,48.85002093315124,0.32780333138329654,0.37976388291883745,0.29243278569786607,0.6816131166210921,4.296313359861394,3.8035674205396868,4.79011318623795
