Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,RMSE_LightGBM,RMSE_DT-Simple,RMSE_Ridge
Abalone,0,2.156712113681747,2.1703600905480545,2.1963673768976113,2.0,17.0,76.28231239318848,2.1963673768976113,2.386782425169294,2.2148683580661834
Abalone,1,2.206839977944647,2.012021774274978,2.22344915890612,2.0,16.0,63.82537031173706,2.22344915890612,2.3708001109413743,2.292317722563652
Abalone,2,2.0577328941541992,2.0869303690260663,1.9968437003823982,2.0,15.0,66.81099963188171,1.9968437003823982,2.0799218736726663,2.1504057688123264
Abalone,3,2.1392138546824606,2.1000816732807697,2.1116443050988916,2.0,15.0,70.25484704971313,2.1116443050988916,2.2684316208785784,2.1530507436021447
Abalone,4,2.327216553223578,2.027223241917312,2.3289902564782263,3.0,15.0,95.90638995170593,2.3289902564782263,2.4440869988273954,2.43000693235029
Abalone,5,2.1264150495670773,2.0189252742280366,2.120538377585028,3.0,14.0,104.44835877418518,2.120538377585028,2.293796601232912,2.2725677945019735
Abalone,6,2.4586978402933752,2.109137436745408,2.3476754122438797,2.0,13.0,69.70912265777588,2.3476754122438797,2.5224320039758457,2.6083546444117056
Abalone,7,2.123113264360719,2.0800204336073715,2.154040950056987,3.0,19.0,76.65556192398071,2.2004098757057515,2.198018819796811,2.154040950056987
Abalone,8,1.8476381861645501,2.0782030697570106,1.8861017378390328,2.0,15.0,67.56713438034058,1.8861017378390328,2.059900723956001,1.9269102975027221
Abalone,9,2.043801609817266,2.115708914027662,2.0604697251237076,2.0,14.0,78.17985081672668,2.0604697251237076,2.209111213274471,2.1365603435491596
MEDIA,-,2.148738134388962,2.0798612277412674,2.1472489926260647,2.3,15.3,76.96399478912353,2.1472489926260647,2.2833282391725347,2.2339083555417143
