Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,RMSE_XGBoost,RMSE_KNN,RMSE_ElasticNet
Boston,0,2.9453902182920073,2.6834903474758156,2.546641159560094,2.0,22.0,66.41529822349548,3.46083360487529,2.546641159560094,3.848550276816389
Boston,1,5.036025817614698,2.361194398148983,4.87899700683675,2.0,26.0,67.54719233512878,4.87899700683675,5.16864797766126,5.759656623356779
Boston,2,3.511584353929506,2.8180878679466863,3.3404323887789347,2.0,21.0,67.75235629081726,4.065124705525237,3.3404323887789347,4.231672552969438
Boston,3,4.067285028732329,2.3055912154048794,3.5929263553279505,2.0,19.0,52.59890842437744,4.579242084156143,3.5929263553279505,4.808250926446637
Boston,4,5.130124044590537,2.5519848979207125,4.759804034742871,2.0,25.0,43.656784772872925,4.759804034742871,5.282287733378845,5.956915208596315
Boston,5,3.7124404426407267,2.2270930947978744,3.060776094323897,2.0,26.0,63.9735381603241,4.352167954189612,3.060776094323897,4.381135683686301
Boston,6,3.0067890715434316,2.7891072644025385,3.3580839316178355,2.0,25.0,118.6068947315216,3.8795733458328594,3.3580839316178355,4.938066634493301
Boston,7,3.1435111807332,2.2500221183580087,2.7528807066318612,2.0,21.0,56.07807421684265,4.177843252186238,2.7528807066318612,4.380583695711848
Boston,8,2.9616372206529302,2.455838314322421,3.4868015804436463,2.0,24.0,66.90465927124023,3.4868015804436463,5.163509860624184,4.459767991411324
Boston,9,4.5598289807165795,2.536564839027666,3.7694879974920057,2.0,19.0,95.29942679405212,5.322746029825286,3.7694879974920057,5.13653226889117
MEDIA,-,3.8074616359445947,2.497897435780559,3.8035674205396868,2.0,22.8,69.88331332206727,4.296313359861394,3.8035674205396868,4.79011318623795
