Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,RMSE_Ridge,RMSE_DT-Simple,RMSE_KNN
Elevators,0,0.0024238301888962256,0.002552566091398347,0.0026944807515549367,2.0,32.0,165.5894787311554,0.0026944807515549367,0.003898455198206742,0.00355647805195779
Elevators,1,0.0026463207817057754,0.0025515217093414655,0.002926858354757127,2.0,26.0,149.86714935302734,0.002926858354757127,0.0040751317984210386,0.0036573696705428597
Elevators,2,0.002617743858709707,0.002581628160538695,0.002893105078892143,2.0,29.0,140.1994345188141,0.002893105078892143,0.003987871160577803,0.00367238233432282
Elevators,3,0.0026722012650714933,0.002630752514529255,0.0030145087753929204,2.0,28.0,111.95394396781921,0.0030145087753929204,0.004023382935350039,0.003615012428235928
Elevators,4,0.0026909507175277222,0.002683787075870755,0.0029991175593975994,2.0,28.0,100.10012626647949,0.0029991175593975994,0.004257987204019523,0.0038169118035390605
Elevators,5,0.0025462698133034167,0.0025385085292457,0.002821389945897937,2.0,32.0,147.31646823883057,0.002821389945897937,0.004086776649556775,0.0036463488050408276
Elevators,6,0.002670357320656649,0.0025741375137553605,0.0029750033623760106,2.0,32.0,106.05546283721924,0.0029750033623760106,0.004188708726720063,0.0036520960913908797
Elevators,7,0.002767609152723191,0.0025660905382389387,0.0030990236033422848,2.0,28.0,115.01016998291016,0.0030990236033422848,0.004047920351210275,0.0037877806186014497
Elevators,8,0.0024343836616017986,0.0025174627616525143,0.0028815968896686362,2.0,26.0,123.65349340438843,0.0028815968896686362,0.00392913149531547,0.003381563267442093
Elevators,9,0.002545061815610304,0.0024675779367134445,0.0027310902753219578,2.0,24.0,129.66275000572205,0.0027310902753219578,0.003862298725689605,0.003479884077799537
MEDIA,-,0.002601472857580628,0.0025664032831284474,0.0029036174596601553,2.0,28.5,128.9408477306366,0.0029036174596601553,0.004035766424506733,0.003626582714887325
